year,accidents,fatalities,casualties,events,BAAR,AFR,ACR,AER
1908.0,3,1,3,,,,,
1909.0,3,2,15,,,,,
1910.0,29,7,58,,,,,
1911.0,13,107,118,,,,,
1912.0,11,15,45,,,,,
1913.0,7,5,15,,,,,
1914.0,1,1,1,,,,,
1915.0,7,6,7,,,,,
1916.0,3,6,14,,,,,
1920.0,2,2,2,,,,,
1921.0,9,6,33,,,,,
1922.0,8,30,65,,,,,
1923.0,2,2,2,,,,,
1924.0,4,4,11,,,,,
1925.0,2,2,4,,,,,
1926.0,3,3,4,,,,,
1927.0,5,5,6,,,,,
1928.0,5,11,19,,,,,
1929.0,4,3,4,,,,,
1930.0,12,22,55,,,,,
1931.0,7,5,5,,,,,
1932.0,5,6,7,,,,,
1933.0,13,20,62,,,,,
1934.0,10,15,31,,,,,
1935.0,6,52,53,,,,,
1936.0,3,4,6,,,,,
1937.0,13,20,23,,,,,
1938.0,3,78,178,,,,,
1939.0,3,3,3,,,,,
1940.0,1,6,6,,,,,
1943.0,5,24,24,,,,,
1944.0,2,5,5,,,,,
1945.0,4,7,9,,,,,
1946.0,8,16,17,,,,,
1947.0,15,10,21,,,,,
1948.0,8,33,33,,,,,
1949.0,10,17,17,,,,,
1950.0,10,9,10,,,,,
1951.0,8,27,27,,,,,
1952.0,9,41,106,,,,,
1953.0,12,17,22,,,,,
1954.0,6,5,5,,,,,
1955.0,9,10,19,,,,,
1956.0,6,10,10,,,,,
1957.0,10,9,30,,,,,
1958.0,10,18,27,,,,,
1959.0,10,14,15,,,,,
1960.0,7,5,5,,,,,
1961.0,8,21,22,,,,,
1962.0,9,15,17,,,,,
1963.0,11,5,11,,,,,
1964.0,11,7,18,,,,,
1965.0,7,15,31,,,,,
1966.0,12,14,19,,,,,
1967.0,13,26,33,,,,,
1968.0,8,11,11,,,,,
1969.0,11,13,14,,,,,
1970.0,13,6,9,,,,,
1971.0,11,28,65,,,,,
1972.0,15,33,68,,,,,
1973.0,11,20,85,,,,,
1974.0,3,3,3,,,,,
1975.0,7,3,4,,,,,
1976.0,9,8,10,,,,,
1977.0,16,17,21,,,,,
1978.0,9,13,14,,,,,
1979.0,9,6,15,,,,,
1980.0,12,23,56,,,,,
1981.0,12,21,25,,,,,
1982.0,10,74,75,,,,,
1983.0,14,18,20,,,,,
1984.0,14,14,34,,,,,
1985.0,15,13,21,,,,,
1986.0,14,11,12,,,,,
1987.0,13,18,33,,,,,
1988.0,20,98,512,,,,,
1989.0,12,23,51,,,,,
1990.0,14,15,16,,,,,
1991.0,16,13,28,,,,,
1992.0,16,14,14,,,,,
1993.0,16,28,52,,,,,
1994.0,15,12,15,,,,,
1995.0,13,25,28,,,,,
1996.0,22,19,21,,,,,
1997.0,15,22,69,,,,,
1998.0,23,19,25,,,,,
1999.0,22,12,18,,,,,
2000.0,20,22,28,,,,,
2001.0,23,15,28,,,,,
2002.0,27,114,682,,,,,
2003.0,24,16,17,,,,,
2004.0,25,18,26,,,,,
2005.0,25,20,30,,,,,
2006.0,31,19,25,,,,,
2007.0,30,16,38,,,,,
2008.0,20,11,32,,,,,
2009.0,33,36,65,,,,,
2010.0,41,25,97,,,,,
2011.0,39,39,106,,,,,
2012.0,29,15,25,,,,,
2013.0,25,27,116,,,,,
2014.0,19,9,11,,,,,
2015.0,26,33,56,,,,,
2016.0,30,17,25,,,,,
2017.0,30,10,14,,,,,
2018.0,21,14,42,,,,,
2019.0,15,8,10,,,,,
2020.0,2,1,1,,,,,
2021.0,5,3,4,,,,,
2022.0,10,8,16,465.0,215.05376344086022,172.04301075268816,344.0860215053763,0.9998566308243727
2023.0,16,13,25,510.0,313.72549019607845,254.90196078431373,490.19607843137254,0.9997908496732026
2024.0,19,24,29,527.0,360.53130929791274,455.40796963946866,550.2846299810246,0.9997596457938014
2025.0,12,2,6,,,,,
